               Symbol Series  Prev Close     Open     High      Low     Last    Close     VWAP   Volume      Turnover  Trades  Deliverable Volume  %Deliverble
Date                                                                                                                                                          
2015-01-01  WHIRLPOOL     EQ      649.60   654.00   662.70   646.30   653.10   653.60   655.48    56223  3.685306e+12    2127               18986       0.3377
2015-01-02  WHIRLPOOL     EQ      653.60   658.00   669.00   650.00   668.00   665.60   661.23   123750  8.182685e+12    3729               59337       0.4795
2015-01-05  WHIRLPOOL     EQ      665.60   669.80   704.00   663.00   679.00   680.40   682.93   280232  1.913802e+13    8974               88122       0.3145
2015-01-06  WHIRLPOOL     EQ      680.40   676.95   691.90   652.50   665.00   657.75   672.13   127788  8.589019e+12    3728               62576       0.4897
2015-01-07  WHIRLPOOL     EQ      657.75   658.00   663.30   635.00   640.65   643.85   648.33    63251  4.100739e+12    2367               29069       0.4596
2015-01-08  WHIRLPOOL     EQ      643.85   649.15   662.00   648.00   657.00   654.55   655.80    48968  3.211341e+12    1702               35716       0.7294
2015-01-09  WHIRLPOOL     EQ      654.55   660.90   679.95   660.45   669.65   672.40   670.67    84314  5.654709e+12    3136               33955       0.4027
2015-01-12  WHIRLPOOL     EQ      672.40   673.90   684.00   659.30   680.00   678.25   671.10    60593  4.066390e+12    2841               26982       0.4453
2015-01-13  WHIRLPOOL     EQ      678.25   674.90   686.90   650.30   662.00   662.65   673.69    77211  5.201621e+12    5626               44974       0.5825
2015-01-14  WHIRLPOOL     EQ      662.65   659.30   674.00   652.10   665.00   663.70   663.19    33259  2.205708e+12    1791               16028       0.4819
2015-01-15  WHIRLPOOL     EQ      663.70   670.25   676.50   659.00   660.10   664.30   665.89    34703  2.310824e+12    1225               20398       0.5878
2015-01-16  WHIRLPOOL     EQ      664.30   660.10   672.00   660.10   663.00   663.20   664.33    41977  2.788639e+12    1505               26114       0.6221
2015-01-19  WHIRLPOOL     EQ      663.20   663.00   697.90   663.00   676.90   677.40   686.46   413678  2.839746e+13   14162              234112       0.5659
2015-01-20  WHIRLPOOL     EQ      677.40   680.00   732.90   676.10   719.25   720.70   710.51   898092  6.380990e+13   20562              315179       0.3509
2015-01-21  WHIRLPOOL     EQ      720.70   726.50   739.90   709.00   715.15   716.40   726.76   330924  2.405019e+13    8781              131033       0.3960
2015-01-22  WHIRLPOOL     EQ      716.40   722.80   734.10   718.00   724.90   725.25   726.95   292608  2.127124e+13    6911               74205       0.2536
2015-01-23  WHIRLPOOL     EQ      725.25   729.80   732.65   710.00   718.55   721.55   722.61   118468  8.560674e+12    3195               39835       0.3363
2015-01-27  WHIRLPOOL     EQ      721.55   721.00   724.90   692.40   714.45   711.50   707.70   114150  8.078427e+12    4381               53015       0.4644
2015-01-28  WHIRLPOOL     EQ      711.50   710.00   734.00   696.65   725.00   725.55   721.45   149369  1.077618e+13    5183               43488       0.2911
2015-01-29  WHIRLPOOL     EQ      725.55   723.25   725.00   701.10   717.30   717.60   717.34    75565  5.420612e+12    5329               45734       0.6052
2015-01-30  WHIRLPOOL     EQ      717.60   723.85   751.00   656.10   671.00   674.10   714.38   594480  4.246818e+13   18134              137344       0.2310
2015-02-02  WHIRLPOOL     EQ      674.10   676.00   719.60   666.10   711.50   711.00   693.41   294684  2.043366e+13    9982              128765       0.4370
2015-02-03  WHIRLPOOL     EQ      711.00   714.00   722.80   702.40   710.00   710.05   711.33   135375  9.629672e+12    4312               81946       0.6053
2015-02-04  WHIRLPOOL     EQ      710.05   710.00   726.90   701.10   704.00   705.30   712.14    95973  6.834656e+12    3204               42620       0.4441
2015-02-05  WHIRLPOOL     EQ      705.30   704.00   711.30   680.10   689.00   689.40   699.67    64005  4.478229e+12    2193               29971       0.4683
2015-02-06  WHIRLPOOL     EQ      689.40   690.00   694.75   655.00   675.00   673.90   673.38   109578  7.378815e+12    4080               60950       0.5562
2015-02-09  WHIRLPOOL     EQ      673.90   671.30   671.85   655.00   661.00   660.45   661.45    45190  2.989077e+12    1489               20953       0.4637
2015-02-10  WHIRLPOOL     EQ      660.45   655.00   687.70   650.05   661.50   660.05   668.11    92514  6.180976e+12    4414               30921       0.3342
2015-02-11  WHIRLPOOL     EQ      660.05   663.00   671.30   655.50   657.95   659.50   660.61    73264  4.839880e+12    3858               36596       0.4995
