Date	Open	High	Low	Close	Adj Close	Volume
2007-03-16	329.0	339.0	261.1000061035156	271.79998779296875	219.62918090820312	5111102
2007-03-19	281.70001220703125	282.79998779296875	264.20001220703125	268.5	216.96255493164062	1768371
2007-03-20	272.0	276.0	256.8999938964844	259.25	209.48800659179688	636655
2007-03-21	260.1000061035156	262.0	245.8000030517578	248.4499969482422	200.7610626220703	469142
2007-03-22	251.60000610351562	254.0	242.14999389648438	244.8000030517578	197.8116912841797	427544
2007-03-23	244.10000610351562	293.79998779296875	240.0	293.79998779296875	237.4063262939453	1516769
2007-03-26	310.0	338.0	296.5	300.3999938964844	242.73944091796875	3240966
2007-03-28	298.8999938964844	311.95001220703125	273.1000061035156	298.20001220703125	240.96173095703125	2079439
2007-03-29	295.1000061035156	314.79998779296875	295.0	302.3999938964844	244.35556030273438	1716241
2007-03-30	308.0	309.29998779296875	294.04998779296875	296.6000061035156	239.66888427734375	578000
2007-04-02	290.0	292.0	275.0	284.8500061035156	230.17422485351562	266950
2007-04-03	289.0	300.0	286.54998779296875	290.0	234.33563232421875	435174
2007-04-04	293.5	297.79998779296875	283.0	284.3500061035156	229.77017211914062	163908
2007-04-05	280.0	296.6499938964844	279.1000061035156	282.04998779296875	227.91160583496094	238839
2007-04-09	284.5	338.5	283.20001220703125	338.5	273.5263366699219	867976
2007-04-10	350.0	390.0	327.3999938964844	331.5	267.8699645996094	2676428
2007-04-11	333.3999938964844	347.3999938964844	322.04998779296875	333.45001220703125	269.4456787109375	1002426
2007-04-12	330.0	339.0	322.1000061035156	326.54998779296875	263.87005615234375	607119
2007-04-13	330.0	342.5	325.3500061035156	328.3999938964844	265.36505126953125	434044
2007-04-16	332.1000061035156	389.8999938964844	331.1499938964844	365.0	294.9397888183594	2064244
2007-04-17	362.0	368.0	335.1000061035156	339.54998779296875	274.3748779296875	1085785
2007-04-18	343.5	392.8999938964844	340.04998779296875	366.04998779296875	295.78826904296875	2491657
2007-04-19	355.0	370.8999938964844	345.0	361.04998779296875	291.74786376953125	960337
2007-04-20	365.8999938964844	377.79998779296875	357.3500061035156	361.79998779296875	292.35394287109375	718160
2007-04-23	369.0	374.29998779296875	353.0	356.3500061035156	287.9500427246094	434168
2007-04-24	352.0	362.0	347.1000061035156	349.6499938964844	282.5360412597656	271669
2007-04-25	350.0	364.0	350.0	354.5	286.4552001953125	285461
2007-04-26	361.0	363.8999938964844	345.0	349.0	282.0109558105469	196140
2007-04-27	354.75	354.75	332.0	334.45001220703125	270.25360107421875	181611
2007-04-30	339.75	343.0	330.1000061035156	336.95001220703125	272.2738342285156	118238
2007-05-03	342.0	355.6000061035156	341.25	344.45001220703125	278.33416748046875	190321
2007-05-04	345.0	349.8500061035156	334.5	340.1000061035156	274.8192138671875	108187
2007-05-07	347.5	361.0	345.04998779296875	346.95001220703125	280.3544006347656	290333
2007-05-08	353.79998779296875	355.3999938964844	345.0	346.29998779296875	279.8291931152344	123273
2007-05-09	349.8999938964844	384.0	346.0	367.70001220703125	297.1216125488281	1747879
2007-05-10	371.0	441.25	362.1000061035156	422.95001220703125	341.7664794921875	3303107
2007-05-11	400.0	488.8999938964844	400.0	468.0	378.1693420410156	7354033
2007-05-14	432.25	477.3999938964844	385.0	461.5	372.9170837402344	1983062
2007-05-15	462.0	462.0	428.5	434.6499938964844	351.2206726074219	1034366
2007-05-16	421.25	447.3999938964844	421.25	431.95001220703125	349.0390930175781	376949
2007-05-17	449.8999938964844	457.0	428.1499938964844	434.5	351.0994873046875	407508
2007-05-18	420.1000061035156	424.0	412.79998779296875	412.79998779296875	333.564697265625	40207
