              Symbol Series  Prev Close     Open     High      Low     Last    Close     VWAP   Volume      Turnover  Trades  Deliverable Volume  %Deliverble
Date                                                                                                                                                         
2015-01-01  NILKAMAL     EQ      466.05   464.00   471.10   464.00   468.65   469.35   468.85    42688  2.001416e+12    2684               16833       0.3943
2015-01-02  NILKAMAL     EQ      469.35   471.95   471.95   456.25   466.00   463.85   467.18    81990  3.830369e+12    3100               53155       0.6483
2015-01-05  NILKAMAL     EQ      463.85   465.00   485.70   465.00   477.50   477.30   477.06   186539  8.899064e+12    5767               61829       0.3315
2015-01-06  NILKAMAL     EQ      477.30   473.00   474.90   451.10   455.00   453.80   462.85   116594  5.396559e+12    4029               56735       0.4866
2015-01-07  NILKAMAL     EQ      453.80   453.80   466.10   447.00   453.00   452.35   456.44    95857  4.375325e+12    3255               44511       0.4643
2015-01-08  NILKAMAL     EQ      452.35   458.50   466.80   458.30   463.80   461.60   462.80    46663  2.159585e+12    1636               18335       0.3929
2015-01-09  NILKAMAL     EQ      461.60   466.00   468.75   459.00   460.85   460.35   463.78    39872  1.849200e+12    1179               20950       0.5254
2015-01-12  NILKAMAL     EQ      460.35   462.00   466.00   457.00   459.00   461.50   462.12    25249  1.166802e+12    1159               11409       0.4519
2015-01-13  NILKAMAL     EQ      461.50   464.20   488.20   463.00   474.30   472.80   476.73   169503  8.080648e+12    5528               55978       0.3302
2015-01-14  NILKAMAL     EQ      472.80   468.10   475.95   453.00   458.50   457.85   462.25    76147  3.519888e+12    2900               40934       0.5376
2015-01-15  NILKAMAL     EQ      457.85   463.05   465.65   449.00   449.00   451.45   455.88    43996  2.005709e+12    1555               27489       0.6248
2015-01-16  NILKAMAL     EQ      451.45   452.00   466.75   447.00   462.80   462.55   460.81    64010  2.949617e+12    2437               27613       0.4314
2015-01-19  NILKAMAL     EQ      462.55   462.50   474.95   457.00   466.45   464.50   467.34    47909  2.238966e+12    2437               19016       0.3969
2015-01-20  NILKAMAL     EQ      464.50   467.50   468.45   458.20   458.30   460.60   463.52    25750  1.193573e+12    1006               15841       0.6152
2015-01-21  NILKAMAL     EQ      460.60   460.60   471.75   450.30   453.55   454.35   462.41    43535  2.013100e+12    2227               16432       0.3774
2015-01-22  NILKAMAL     EQ      454.35   452.20   461.45   452.00   454.00   454.10   455.98    26927  1.227820e+12    1241               15538       0.5770
2015-01-23  NILKAMAL     EQ      454.10   459.70   460.95   442.00   444.50   444.80   449.36    46090  2.071096e+12    1771               27146       0.5890
