Date	Open	High	Low	Close	Adj Close	Volume	EMA_5	EMA_13	EMA_20	EMA_50	EMA_75	EMA_100	EMA_200	EMA_300	EMA_365	RSI_14
2002-07-01	910.0	910.0	880.0	897.5999755859375	817.1116333007812	426										
2002-07-02	900.0	905.0	895.0	903.6500244140625	822.6192626953125	310										
2002-07-03	910.0	910.0	900.0	906.7000122070312	825.3956909179688	336										
2002-07-04	920.0	925.0	910.0	916.7999877929688	834.5899658203125	591										
2002-07-05	915.0	935.0	910.0	927.2999877929688	844.1483154296875	1623	910.4099975585938									
2002-07-08	930.0	933.0	918.0	929.0499877929688	845.7413330078125	1595	916.6233276367187									
2002-07-09	934.0	934.0	900.1500244140625	904.4000244140625	823.3020629882812	586	912.5488932291667									
2002-07-10	910.0	917.9000244140625	901.0	910.7000122070312	829.036865234375	826	911.9325995551216									
2002-07-11	891.0	920.0	885.0	893.9500122070312	813.7887573242188	1265	905.9384037724247									
2002-07-12	908.9000244140625	909.0	890.0999755859375	896.5	816.1103515625	361	902.7922691816165									
2002-07-15	900.0	910.0	871.2000122070312	875.0	796.5385131835938	1265	893.528179454411									
2002-07-16	890.0	890.0	880.0	883.0499877929688	803.8662719726562	552	890.0354489005969									
2002-07-17	880.0999755859375	883.0	880.0	881.6500244140625	802.5919189453125	572	887.2403074050854	902.0269258939303								
2002-07-18	867.0	925.0	867.0	912.4000244140625	830.5845336914062	1293	895.6268797414111	903.508797111092								
2002-07-19	915.0	915.0	903.0	907.4500122070312	826.078369140625	415	899.5679238966178	904.0718278390833								53.31986595709227
2002-07-22	898.0	901.0	880.0	885.5	806.0966796875	756	894.8786159310786	901.4187095763572								45.99146252700258
2002-07-23	870.0	894.9000244140625	870.0	891.4000244140625	811.4676513671875	271	893.7190854254065	899.9874688388865								48.0579973888637
2002-07-24	864.0	894.9500122070312	864.0	888.5	808.8275146484375	423	891.9793902836044	898.3464018619027								47.10394950924118
2002-07-25	900.0	900.0	891.0	892.0	812.013916015625	355	891.9862601890696	897.439773024488								48.43445056764891
2002-07-26	852.0	884.9000244140625	852.0	881.7000122070312	802.637451171875	1101	888.5575108617235	895.1912357648513	899.265005493164							44.85851092331081
2002-07-29	884.0	905.0	852.0	897.0	816.5654296875	2486	891.3716739078156	895.4496306555868	899.0492906842912							50.683164033523035
2002-07-30	917.0	928.0	890.0	894.1500244140625	813.9708862304688	1657	892.2977907432313	895.2639726210833	898.5826938966504							49.63148412596004
2002-07-31	876.0	898.9000244140625	870.0	889.75	809.9656372070312	1149	891.4485271621542	894.4762622466428	897.7414849541123							47.97630395465081
2002-08-01	898.0	898.0	883.5999755859375	884.9500122070312	805.5962524414062	659	889.2823555104466	893.1153693838412	896.5232494543902							46.16748957167979
2002-08-02	876.0	890.0	872.25	889.4000244140625	809.6469116210938	666	889.3215784783185	892.58460581673	895.8448470695971							48.12034480175278
2002-08-05	850.0	927.0	850.0	914.6500244140625	832.6328125	1726	897.7643937902332	895.7368084734918	897.6358163404985							57.533881974730775
2002-08-06	970.0	970.0	893.0	906.0999755859375	824.849365234375	691	900.5429210554679	897.217260918127	898.4419267448261							53.96324487425678
2002-08-07	906.0	960.0499877929688	906.0	949.0499877929688	863.9478759765625	5411	916.7119433013015	904.6219361859615	903.2617420827445							65.53461029300739
2002-08-08	949.7999877929688	949.7999877929688	894.0	900.5999755859375	819.842529296875	1071	911.3412873961802	904.0473703859581	903.00824051162							50.2047013796433
2002-08-09	890.0	920.0	890.0	907.2000122070312	828.61083984375	417	909.9608623331305	904.4977477889685	903.4074568635639							51.856818302168215
2002-08-12	909.0	929.0	909.0	923.9000244140625	843.8641967773438	587	914.6072496934412	907.2695015925533	905.3591299636114							55.8484757688381
2002-08-13	922.1500244140625	929.75	910.0	910.4500122070312	831.5795288085938	450	913.2215038646378	907.7238602517644	905.8439758915562							52.10167390641535
2002-08-14	891.0499877929688	908.5	891.0	897.3499755859375	819.6144409179688	409	907.9309944384044	906.2418767280749	905.0350234814972							48.67634796018797
2002-08-16	849.9000244140625	919.0	849.9000244140625	908.0	829.3416748046875	205	907.9539962922696	906.4930371954928	905.3174021975451							51.46970187668678
2002-08-19	905.0	905.0	894.0	895.7999877929688	818.1986694335938	349	903.902660125836	904.9654587094179	904.4109817780617							48.23129313328153
