Date	Open	High	Low	Close	Adj Close	Volume	EMA_5	EMA_13	EMA_20	EMA_50	EMA_75	EMA_100	EMA_200	EMA_300	EMA_365	RSI_14
2016-01-06	291.0	345.6499938964844	291.0	336.95001220703125	334.3690490722656	41383689										
2016-01-07	337.0	360.0	325.29998779296875	330.70001220703125	328.16693115234375	11693085										
2016-01-08	332.5	340.5	324.1000061035156	327.3999938964844	324.8921813964844	3781532										
2016-01-11	322.8999938964844	332.8999938964844	306.04998779296875	327.5	324.9914245605469	3393607										
2016-01-12	331.0	336.0	324.1000061035156	331.79998779296875	329.25848388671875	1686299	330.8700012207031									
2016-01-13	331.8500061035156	334.29998779296875	317.3999938964844	324.95001220703125	322.4609680175781	1181491	328.89667154947915									
2016-01-14	317.0	325.0	310.5	320.1000061035156	317.64813232421875	608372	325.964449734158									
2016-01-15	321.8500061035156	324.54998779296875	301.0	306.6000061035156	304.25152587890625	530956	319.50963519061054									
2016-01-18	308.0	308.0	294.0	299.29998779296875	297.0074157714844	812523	312.77308605806326									
2016-01-19	302.6499938964844	307.8999938964844	295.3500061035156	304.6000061035156	302.266845703125	530489	310.048726073214									
2016-01-20	300.0	308.95001220703125	295.0	301.20001220703125	298.8929138183594	376656	307.0991547844864									
2016-01-21	302.75	313.70001220703125	302.75	311.79998779296875	309.41168212890625	328864	308.6660991206472									
2016-01-22	314.95001220703125	321.5	314.0	316.95001220703125	314.52227783203125	246903	311.4274034827752	318.4500028170072								
2016-01-25	317.0	339.0	310.3999938964844	330.20001220703125	327.6707763671875	427034	317.6849397241939	320.12857558701063								
2016-01-27	326.0	339.0	325.1000061035156	333.95001220703125	331.3920593261719	376817	323.10663055180635	322.10306653272784								48.2935158323346
2016-01-28	331.79998779296875	336.6499938964844	327.70001220703125	330.6000061035156	328.06768798828125	146200	325.6044224023761	323.3169150428404								46.389540334522415
2016-01-29	328.54998779296875	338.0	328.54998779296875	333.6499938964844	331.0943298339844	218252	328.28627956707885	324.79306916478953								48.384746518201744
2016-02-01	334.0	336.5	328.20001220703125	330.70001220703125	328.16693115234375	405909	329.09085711372967	325.63691817082406								46.57908994660954
2016-02-02	329.95001220703125	335.0	328.6000061035156	331.75	329.2088928222656	700751	329.9772380758198	326.51021557499206								47.33247877277476
2016-02-03	330.0	330.1000061035156	319.0	320.70001220703125	318.2435302734375	205863	326.8848294528903	325.68018652242625	322.57000427246095							40.809688641908004
2016-02-04	321.70001220703125	324.95001220703125	318.0	321.8999938964844	319.434326171875	349485	325.223217600755	325.14015900443457	322.5061937604632							41.748500933568
2016-02-05	322.0	324.5	318.0	320.75	318.2931213378906	63123	323.73214506717	324.51299343237247	322.3389372118476							41.07610816972367
2016-02-08	324.0	352.0	321.95001220703125	328.3999938964844	325.884521484375	1156009	325.28809467694145	325.0682792129599	322.91618070562254							47.17148782931424
2016-02-09	332.54998779296875	338.79998779296875	326.0	333.25	330.6973876953125	715021	327.94206311796097	326.23709646825137	323.9003539717537							50.65650652040481
2016-02-10	327.0	334.0	320.0	321.1000061035156	318.6404724121094	415901	325.6613774464792	325.5032264161463	323.63365417477866							43.003097426516405
2016-02-11	322.0	322.0	282.3999938964844	294.5	292.24420166015625	700722	315.27425163098616	321.0741940709825	320.8590204438473							31.708212469043122
2016-02-12	295.0	299.79998779296875	283.6499938964844	286.5	284.30548095703125	396915	305.68283442065746	316.1350234894136	317.58673278252854							29.222281166747095
2016-02-15	291.70001220703125	298.5	290.20001220703125	294.75	292.4923095703125	290784	302.0385562804383	313.0800201337831	315.41180585085914							34.89126556730596
2016-02-16	299.0	299.8500061035156	288.04998779296875	290.5	288.27484130859375	119220	298.1923708536255	309.8543029718141	313.03925291268206							33.406822534850974
2016-02-17	294.70001220703125	294.70001220703125	286.6000061035156	290.1000061035156	287.8779296875	127189	295.4949159369222	307.03226056205716	310.8545627403805							33.26338514444153
2016-02-18	294.8999938964844	298.0	289.95001220703125	290.45001220703125	288.2252197265625	52218	293.8132813602919	304.6633679399106	308.91127221339485							33.53231850093321
2016-02-19	292.6000061035156	293.0	289.95001220703125	290.20001220703125	287.9771423339844	36470	292.608858309205	302.59717426378495	307.129247450884							33.428697203877654
2016-02-22	294.0	294.0	287.0	289.75	287.53057861328125	334572	291.65590553947	300.7618636546728	305.4740810269903							33.22963902139364
2016-02-23	289.5	292.29998779296875	286.1000061035156	288.29998779296875	286.0916748046875	63567	290.53726629063624	298.9815956744294	303.83845309994064							32.556916608418035
2016-02-24	286.20001220703125	287.29998779296875	284.5	285.25	283.0650329589844	105402	288.7748441937575	297.0199391495109	302.0681242332796							31.12936549057762
2016-02-25	288.95001220703125	289.25	283.5	288.1000061035156	285.89324951171875	36604	288.54989816367686	295.74566300008297	300.7378272685402							34.03983148963227
2016-02-26	287.04998779296875	288.8500061035156	274.6499938964844	284.45001220703125	282.2712097167969	1067007	287.1832695114617	294.13199860107557	299.1866067864917							32.16507834403416
2016-02-29	284.0	285.8500061035156	277.0	279.8999938964844	277.75604248046875	50969	284.7555109731359	292.0988550718483	297.34978651125294							29.95061676757552
2016-03-01	277.04998779296875	302.0	274.6499938964844	295.3999938964844	293.1372985839844	114425	288.3036719475854	292.5704463325106	297.1640919765131							44.07560428896601
2016-03-02	298.0	309.95001220703125	296.45001220703125	298.75	296.4616394042969	128958	291.7857812983903	293.4532397135805	297.3151308358928							46.582663383110386
2016-03-03	299.6499938964844	306.45001220703125	295.0	299.75	297.4539794921875	104961	294.44052086559356	294.3527768973547	297.5470231372363							47.341538860862904
2016-03-04	299.95001220703125	305.0	295.0	296.8500061035156	294.5762023925781	64527	295.2436826115676	294.7095239268063	297.48064056259625							45.33032218185128
