                Symbol Series  Prev Close    Open    High     Low    Last   Close    VWAP   Volume      Turnover  Trades  Deliverable Volume  %Deliverble
Date                                                                                                                                                     
2015-01-01  VAIBHAVGBL     EQ      627.75  630.00  630.05  610.00  625.00  622.20  617.75     8184  5.055632e+11     374                5607       0.6851
2015-01-02  VAIBHAVGBL     EQ      622.20  626.00  635.45  624.00  631.90  629.65  630.18     7589  4.782400e+11     364                3297       0.4344
2015-01-05  VAIBHAVGBL     EQ      629.65  633.95  639.10  626.00  633.95  632.15  634.30    10126  6.422964e+11     323                5976       0.5902
2015-01-06  VAIBHAVGBL     EQ      632.15  628.00  657.00  625.65  645.00  646.15  642.09    28338  1.819555e+12    1498               22219       0.7841
2015-01-07  VAIBHAVGBL     EQ      646.15  644.00  658.00  643.00  650.10  648.90  651.14    13340  8.686171e+11     699               11207       0.8401
2015-01-08  VAIBHAVGBL     EQ      648.90  660.00  669.00  645.05  669.00  663.85  660.08    21686  1.431440e+12     661               18425       0.8496
2015-01-09  VAIBHAVGBL     EQ      663.85  666.00  673.30  645.00  667.00  663.65  662.03    10036  6.644142e+11     720                6447       0.6424
2015-01-12  VAIBHAVGBL     EQ      663.65  667.80  675.00  659.65  673.95  669.40  662.43    12676  8.396983e+11     333               10829       0.8543
2015-01-13  VAIBHAVGBL     EQ      669.40  672.00  675.00  665.00  675.00  673.50  668.70    13316  8.904380e+11     659                8273       0.6213
2015-01-14  VAIBHAVGBL     EQ      673.50  674.10  709.30  674.10  706.00  707.40  696.64    30448  2.121136e+12    1527               19846       0.6518
2015-01-15  VAIBHAVGBL     EQ      707.40  711.60  719.90  700.00  711.00  711.80  712.31    12862  9.161699e+11     619                8290       0.6445
2015-01-16  VAIBHAVGBL     EQ      711.80  715.00  720.00  704.00  710.00  709.60  712.15     7712  5.492105e+11     415                4307       0.5585
2015-01-19  VAIBHAVGBL     EQ      709.60  710.10  734.00  710.00  730.10  730.85  723.63    18062  1.307024e+12     821                8289       0.4589
2015-01-20  VAIBHAVGBL     EQ      730.85  731.45  737.00  727.00  733.00  733.75  730.91    12690  9.275224e+11     518                5992       0.4722
2015-01-21  VAIBHAVGBL     EQ      733.75  736.00  757.00  733.35  757.00  752.60  743.27    57729  4.290848e+12    1396               44949       0.7786
2015-01-22  VAIBHAVGBL     EQ      752.60  750.00  762.00  749.00  760.00  759.85  756.59     7868  5.952871e+11     541                5207       0.6618
2015-01-23  VAIBHAVGBL     EQ      759.85  763.00  767.30  759.00  760.00  762.70  761.88     2590  1.973269e+11     220                1866       0.7205
2015-01-27  VAIBHAVGBL     EQ      762.70  765.00  776.00  762.05  772.95  770.30  770.89     6923  5.336878e+11     284                4774       0.6896
2015-01-28  VAIBHAVGBL     EQ      770.30  793.30  828.90  787.00  815.00  816.80  811.57    68246  5.538657e+12    2604               47178       0.6913
