Date	Open	High	Low	Close	Adj Close	Volume	EMA_5	EMA_13	EMA_20	EMA_50	EMA_75	EMA_100	EMA_200	EMA_300	EMA_365	RSI_14
2010-01-08	1193.3299560546875	1213.3299560546875	1133.3299560546875	1175.9300537109375	1114.0570068359375	810										
2010-01-11	1210.0	1210.0	1166.6700439453125	1175.050048828125	1113.2232666015625	990										
2010-01-12	1196.6700439453125	1196.6700439453125	1151.6700439453125	1156.989990234375	1096.1134033203125	510										
2010-01-13	1150.0	1180.0	1150.0	1161.5899658203125	1100.471435546875	1800										
2010-01-14	1183.300048828125	1185.0	1163.3299560546875	1167.739990234375	1106.2978515625	1470	1167.460009765625									
2010-01-15	1183.3299560546875	1310.0	1163.0	1224.6700439453125	1160.232421875	78540	1186.5300211588542									
2010-01-18	1221.6700439453125	1281.6300048828125	1199.800048828125	1248.5799560546875	1182.8841552734375	80880	1207.2133327907986									
2010-01-19	1263.3299560546875	1283.3299560546875	1223.300048828125	1229.9100341796875	1165.1966552734375	39210	1214.7788999204283									
2010-01-20	1249.9599609375	1250.0	1211.0999755859375	1214.81005859375	1150.8912353515625	13380	1214.7892861448688									
2010-01-21	1200.010009765625	1211.6300048828125	1158.3299560546875	1162.6600341796875	1101.4852294921875	12270	1197.4128688231417									
2010-01-22	1118.3299560546875	1192.5	1110.0	1176.6300048828125	1114.7200927734375	16170	1190.4852475096986									
2010-01-25	1179.9599609375	1195.0	1158.3299560546875	1164.719970703125	1103.4368896484375	3780	1181.8968219075075									
2010-01-27	1150.0	1168.3299560546875	1103.3699951171875	1113.239990234375	1054.6654052734375	8370	1159.0112113497967	1182.5015493539663								
2010-01-28	1120.0	1180.0	1116.6700439453125	1126.3299560546875	1067.066650390625	6720	1148.1174595847604	1174.477036025498								
2010-01-29	1106.699951171875	1140.0	1106.6700439453125	1132.9599609375	1073.34765625	4620	1143.0649600356735	1168.546025298641								42.680457473747154
2010-02-01	1118.3699951171875	1206.6700439453125	1118.3299560546875	1154.0899658203125	1093.3660888671875	9390	1146.7399619638866	1166.4808739445941								46.80435621178668
2010-02-02	1166.6500244140625	1180.0	1117.030029296875	1122.949951171875	1063.864501953125	6630	1138.8099583665494	1160.2621706913485								42.00770508809041
2010-02-03	1131.47998046875	1200.0	1130.0	1134.0	1074.3331298828125	4830	1137.206638911033	1156.5104320211558								44.19329319697359
2010-02-04	1122.0999755859375	1206.6700439453125	1122.0999755859375	1147.3199462890625	1086.9521484375	14550	1140.577741370376	1155.1975054879997								46.79622866928294
2010-02-05	1120.0	1135.6300048828125	1116.6700439453125	1119.47998046875	1060.5770263671875	7890	1133.5451544031673	1150.095001913821	1165.4824951171875							42.3500969655834
2010-02-08	1143.27001953125	1171.1700439453125	1121.699951171875	1136.6700439453125	1076.86279296875	11370	1134.586784250549	1148.1771507754627	1162.7384521484375							45.775862142408364
2010-02-09	1143.300048828125	1173.469970703125	1138.3299560546875	1155.1500244140625	1094.370361328125	10170	1141.441197638387	1149.173275580977	1162.0157447451638							49.266182290439495
2010-02-10	1157.0	1172.6700439453125	1131.6700439453125	1141.97998046875	1081.8931884765625	5520	1141.6207919151746	1148.145661993516	1160.1075767188388							46.946918744610784
2010-02-11	1141.969970703125	1159.969970703125	1133.3699951171875	1138.8699951171875	1078.9468994140625	4320	1140.7038596491789	1146.820566725469	1158.084949899634							46.391531748025535
2010-02-15	1146.6700439453125	1153.0	1127.0	1130.5899658203125	1071.1024169921875	3270	1137.3325617062235	1144.5019094533038	1155.4663799873176							44.8695869564085
2010-02-16	1130.9000244140625	1144.3299560546875	1126.8299560546875	1133.3699951171875	1073.736328125	2880	1136.0117061765447	1142.9116359767158	1153.3619623806385							45.5158841599199
2010-02-17	1136.6700439453125	1233.3299560546875	1136.6700439453125	1162.949951171875	1101.759765625	41160	1144.9911211749882	1145.7742524331672	1154.27510417028							51.96803117352579
2010-02-18	1166.6300048828125	1173.27001953125	1146.72998046875	1150.81005859375	1090.2586669921875	5340	1146.9307669812422	1146.4936533132504	1153.9450998296581							49.3832939108307
2010-02-19	1153.3299560546875	1159.9300537109375	1130.030029296875	1137.43994140625	1077.5921630859375	5790	1143.7671584562447	1145.2002658979648	1152.3731799798097							46.63240526919346
2010-02-22	1146.75	1163.3299560546875	1126.6700439453125	1130.8599853515625	1071.3585205078125	4500	1139.4647674213506	1143.1516543913358	1150.324304300929							45.29514161727995
2010-02-23	1125.3299560546875	1130.8299560546875	1116.699951171875	1119.18994140625	1060.3023681640625	4530	1132.7064920829837	1139.7285525363236	1147.3591268823882							42.94303943378542
2010-02-24	1120.0	1127.0	1117.050048828125	1118.1500244140625	1059.3172607421875	2250	1127.8543361933432	1136.6459056617148	1144.5773075996906							42.7301032960757
2010-02-25	1124.6600341796875	1132.6700439453125	1116.6700439453125	1118.25	1059.4117431640625	1950	1124.6528907955621	1134.0179191386126	1142.0699449711485							42.75948926802309
2010-02-26	1125.0	1141.6700439453125	1116.6700439453125	1118.0999755859375	1059.2696533203125	5700	1122.4685857256873	1131.743927202516	1139.7870907439856							42.72406190235123
2010-03-02	1133.300048828125	1138.3299560546875	1118.3299560546875	1122.8399658203125	1063.7601318359375	3750	1122.5923790905624	1130.471932719344	1138.173078846493							44.29444301340549
2010-03-03	1123.3299560546875	1150.0	1123.3299560546875	1134.719970703125	1075.0152587890625	6660	1126.6349096280833	1131.0787952884557	1137.8442114042673							48.132834127979365
2010-03-04	1158.300048828125	1158.300048828125	1133.3299560546875	1136.1800537109375	1076.3984375	3300	1129.816624322368	1131.8075464916674	1137.6857201953787							48.60158922834441
2010-03-05	1143.3299560546875	1143.3299560546875	1126.6700439453125	1130.5	1071.0172119140625	3720	1130.044416214912	1131.6207541357148	1137.001365891057							46.82852862690019
2010-03-08	1146.300048828125	1146.300048828125	1124.1700439453125	1127.719970703125	1068.3834228515625	4020	1129.2696010443162	1131.0634993596307	1136.1174234922064							45.94505518207046
