	Date	Stock	Alert	Price
0	2020-11-27	AARTIDRUGS	Bullish LRC	715.0499877929688
1	2020-11-27	ABCAPITAL	Shaven Bottom	88.44999694824219
2	2020-11-27	ADANIGAS	Bullish LRC	347.8999938964844
3	2020-11-27	ADVENZYMES	Bullish LRC	352.8999938964844
4	2020-11-27	AFFLE	Bullish LRC	3418.5
5	2020-11-27	ALKYLAMINE	Bullish LRC	4015.0
6	2020-11-27	APOLLOTYRE	Bullish LRC	184.4499969482422
7	2020-11-27	BAJAJELEC	Bullish LRC	572.5499877929688
8	2020-11-27	BLUESTARCO	Bullish LRC	811.8499755859375
9	2020-11-27	BSOFT	Bullish LRC	197.6000061035156
10	2020-11-27	CANFINHOME	Shaven Bottom	481.95001220703125
11	2020-11-27	CARERATING	Bullish LRC	501.7999877929688
12	2020-11-27	CERA	Shaven Bottom	3124.5
13	2020-11-27	CHAMBLFERT	Shaven Bottom	203.8500061035156
14	2020-11-27	CHOLAFIN	Bullish LRC	388.70001220703125
15	2020-11-27	CREDITACC	Bullish LRC	791.0999755859375
16	2020-11-27	CUB	Shaven Bottom	186.0500030517578
17	2020-11-27	CUMMINSIND	Bullish LRC	586.0
18	2020-11-27	CYIENT	Shaven Bottom	489.1499938964844
19	2020-11-27	DALBHARAT	Bullish LRC	1101.699951171875
20	2020-11-27	DEEPAKNTR	Shaven Bottom	865.0999755859375
21	2020-11-27	EDELWEISS	Bullish LRC	70.0
22	2020-11-27	ENDURANCE	Bullish LRC	1157.0
23	2020-11-27	ERIS	Shaven Top	521.3499755859375
24	2020-11-27	EXIDEIND	Shaven Bottom	184.8500061035156
25	2020-11-27	FCONSUMER	Shaven Bottom	8.199999809265138
26	2020-11-27	FDC	Bullish LRC	343.45001220703125
27	2020-11-27	FEDERALBNK	Bullish LRC	62.79999923706055
28	2020-11-27	FRETAIL	Bullish LRC	82.6500015258789
29	2020-11-27	GMDCLTD	Bearish LRC	46.95000076293945
30	2020-11-27	GODREJPROP	Bullish LRC	1165.449951171875
31	2020-11-27	GPPL	Shaven Bottom	96.6999969482422
32	2020-11-27	GRSE	Bearish LRC	193.3000030517578
33	2020-11-27	HDFCLIFE	Bearish LRC	646.7999877929688
34	2020-11-27	ICICIPRULI	Bearish LRC	441.70001220703125
35	2020-11-27	IIFL	Bearish LRC	100.1999969482422
36	2020-11-27	JCHAC	Bullish LRC	2286.39990234375
37	2020-11-27	JKCEMENT	Bullish LRC	2029.949951171875
38	2020-11-27	JSWSTEEL	Bearish LRC	350.20001220703125
39	2020-11-27	KAJARIACER	Shaven Bottom	647.9000244140625
40	2020-11-27	KEC	Bullish LRC	359.5
41	2020-11-27	KSCL	Shaven Top	490.7999877929688
42	2020-11-27	L&TFH	Bullish LRC	86.8499984741211
43	2020-11-27	LALPATHLAB	Shaven Bottom	2290.5
44	2020-11-27	LAURUSLABS	Bullish LRC	316.8500061035156
45	2020-11-27	MGL	Shaven Bottom	1063.9000244140623
46	2020-11-27	NESCO	Shaven Bottom	543.5999755859375
47	2020-11-27	OMAXE	Shaven Top	69.25
48	2020-11-27	ORIENTCEM	Bullish LRC	71.6500015258789
49	2020-11-27	ORIENTELEC	Bullish LRC	237.6999969482422
50	2020-11-27	PERSISTENT	Bearish LRC	1193.3499755859375
51	2020-11-27	QUESS	Bullish LRC	500.7999877929688
52	2020-11-27	RADICO	Bullish LRC	454.5
53	2020-11-27	REDINGTON	Bearish LRC	131.39999389648438
54	2020-11-27	SHOPERSTOP	Shaven Top	186.1999969482422
55	2020-11-27	SUMICHEM	Bullish LRC	282.8500061035156
56	2020-11-27	SUVENPHAR	Bullish LRC	396.95001220703125
57	2020-11-27	SWARAJENG	Shaven Bottom	1401.75
58	2020-11-27	TVSMOTOR	Bullish LRC	499.6499938964844
59	2020-11-27	VARROC	Shaven Bottom	385.6000061035156
60	2020-11-27	VGUARD	Shaven Bottom	184.9499969482422
61	2020-11-27	VSTIND	Bullish LRC	3593.449951171875
