	Date	Stock	Alert	Price
0	2021-01-05	AARTIDRUGS	Hammer	720.9000244140625
1	2021-01-05	ADANIPORTS	Hammer	499.45001220703125
2	2021-01-05	APLAPOLLO	Hammer	879.4500122070312
3	2021-01-05	BAJAJELEC	Hammer	621.5499877929688
4	2021-01-05	BAJAJHLDNG	Hammer	3110.85009765625
5	2021-01-05	BHARATFORG	Hammer	556.5499877929689
6	2021-01-05	BIOCON	Hammer	467.6499938964844
7	2021-01-05	BLISSGVS	Hammer	201.0500030517578
8	2021-01-05	BPCL	Hammer	392.0
9	2021-01-05	CERA	Hammer	3546.699951171875
10	2021-01-05	CREDITACC	Hammer	768.8499755859375
11	2021-01-05	CRISIL	Hammer	1934.4000244140625
12	2021-01-05	CROMPTON	Hammer	377.3500061035156
13	2021-01-05	DIXON	Hammer	14031.0
14	2021-01-05	ENDURANCE	Hammer	1417.75
15	2021-01-05	FDC	Hammer	333.70001220703125
16	2021-01-05	FINEORG	Hammer	2537.199951171875
17	2021-01-05	FINPIPE	Hammer	653.5499877929688
18	2021-01-05	GODREJCP	Hammer	760.2999877929688
19	2021-01-05	HINDALCO	Hammer	250.3000030517578
20	2021-01-05	HONAUT	Hammer	37332.3984375
21	2021-01-05	IFBIND	Hammer	1205.1500244140625
22	2021-01-05	INDIAMART	Hammer	7189.7001953125
23	2021-01-05	IPCALAB	Hammer	2173.949951171875
24	2021-01-05	KEI	Hammer	466.75
25	2021-01-05	KOTAKBANK	Hammer	1959.75
26	2021-01-05	LT	Hammer	1306.300048828125
27	2021-01-05	M&M	Hammer	740.0999755859375
28	2021-01-05	MARUTI	Hammer	7655.4501953125
29	2021-01-05	NATCOPHARM	Hammer	966.4500122070312
30	2021-01-05	ORIENTELEC	Hammer	241.6000061035156
31	2021-01-05	PAGEIND	Hammer	28597.400390625
32	2021-01-05	PFIZER	Hammer	5207.39990234375
33	2021-01-05	PIDILITIND	Hammer	1800.550048828125
34	2021-01-05	POWERGRID	Hammer	188.0
35	2021-01-05	SKFINDIA	Hammer	1750.1500244140625
36	2021-01-05	SRF	Hammer	5695.25
37	2021-01-05	STAR	Hammer	971.7999877929688
38	2021-01-05	SYNGENE	Hammer	630.9000244140625
39	2021-01-05	TATACOMM	Hammer	1112.9000244140623
40	2021-01-05	TCIEXP	Hammer	962.25
41	2021-01-05	TECHM	Hammer	1003.8499755859376
42	2021-01-05	TORNTPOWER	Hammer	320.54998779296875
43	2021-01-05	ULTRACEMCO	Hammer	5341.2001953125
44	2021-01-05	VMART	Hammer	2470.10009765625
45	2021-01-05	VSTIND	Hammer	3720.39990234375
